#DocumentID	StartOffset	EndOffset	Abbreviation	Definition	Definition_lemmatized
S0004-06142005001000011-3	976	979	ROT	reflejo osteotendinoso	reflejo osteotendinoso
S0004-06142005001000011-3	1385	1389	PEES	panencefalitis esclerosante subaguda	panencefalitis esclerosante subaguda
S0004-06142005001000016-1	981	984	RTU	resección transuretral	resección transuretral
S0004-06142006000200014-1	610	612	Tc	símbolo químico del tecnecio	símbolo químico del tecnecio
S0004-06142006000300015-1	1711	1714	EMA	enfermedad mitroaórtica	enfermedad mitroaórtica
S0004-06142006000700013-1	2078	2081	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700013-1	937	940	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700013-1	333	336	VSG	velocidad de sedimentación globular	velocidad de sedimentación globular
S0004-06142006000700014-1	3641	3644	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700014-1	3452	3455	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700014-1	960	963	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000700014-1	957	959	La	labial	labial
S0004-06142006000900015-1	1890	1893	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000900015-1	963	966	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000900015-1	179	182	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142006000900015-1	176	178	La	labial	labial
S0004-06142006000900015-1	588	590	IV	vía intravenosa	vía intravenosa
S0004-06142006000900015-1	550	552	T3	triyodotironina	triyodotironina
S0004-06142007000500011-1	656	659	UIV	urografía intravenosa 	urografía intravenosa 
S0004-06142007000500011-1	505	508	VSG	velocidad de sedimentación globular	velocidad de sedimentación globular
S0004-06142007000500011-1	473	475	mg	miligramo	miligramo
S0004-06142007000500011-1	516	518	mm	milímetro	milímetro
S0004-06142007000600012-1	736	739	TAC	tomografía axial computarizada	tomografía axial computarizada
S0004-06142007000600016-2	395	398	RMN	resonancia magnética nuclear	resonancia magnética nuclear
S0004-06142007000700014-1	428	431	TAC	tomografía axial computarizada	tomografía axial computarizada
